annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2011048;MERCREDI;20110420;20110620;15;41;18;17;33;9;15-17-18-33-41+9;0;0;0;0;313;2344,5;16820;12,9;269304;5,7;384883;2;2 049 312;eur;
2011047;LUNDI   ;20110418;20110618;6;10;22;7;21;5;6-7-10-21-22+5;2;1000000;0;0;535;931,1;23004;6,4;281786;3,7;374036;2;7 730 098;eur;
2011046;SAMEDI  ;20110416;20110616;17;35;24;47;6;8;6-17-24-35-47+8;1;2000000;9;35190,5;642;1061,7;27297;10,8;398608;5,2;575164;2;9 898 394;eur;
2011045;MERCREDI;20110413;20110613;38;6;33;43;23;1;6-23-33-38-43+1;1;5000000;1;264713,3;497;1146,2;21596;11,4;301197;5,8;360416;2;9 488 998;eur;
2011044;LUNDI   ;20110411;20110611;13;47;22;3;32;6;3-13-22-32-47+6;0;0;2;84902,5;337;1084,4;15549;10,1;223552;5;328574;2;1 851 896;eur;
2011043;SAMEDI  ;20110409;20110609;6;20;31;22;41;8;6-20-22-31-41+8;0;0;4;82026,2;672;1050,8;29637;10,3;422582;5,1;592506;2;8 976 483;eur;
2011042;MERCREDI;20110406;20110606;12;19;1;32;44;3;1-12-19-32-44+3;0;0;3;83222,9;498;1078,9;23041;10,1;338328;4,9;491824;2;3 014 550;eur;
2011041;LUNDI   ;20110404;20110604;12;23;37;13;10;7;10-12-13-23-37+7;1;12000000;1;208478;444;1010,5;22752;8,5;318801;4,3;605767;2;0 844 431;eur;
2011040;SAMEDI  ;20110402;20110602;5;24;7;46;35;3;5-7-24-35-46+3;0;0;0;0;701;1536,3;32225;9,8;468567;4,8;710705;2;1 508 091;eur;
2011039;MERCREDI;20110330;20110530;15;23;27;43;29;10;15-23-27-29-43+10;0;0;0;0;651;1172,8;24741;9,1;317627;5;283720;2;1 397 184;eur;
2011038;LUNDI   ;20110328;20110528;15;10;16;46;43;1;10-15-16-43-46+1;0;0;1;159803,2;215;1599,6;11234;13,2;186146;5,7;220186;2;8 941 634;eur;
2011037;SAMEDI  ;20110326;20110526;17;26;34;4;30;9;4-17-26-30-34+9;0;0;2;157819,3;650;1045;29119;10,1;402228;5,2;525291;2;2 334 873;eur;
